      STEP                   TIME                 BR_MIN                 BR_MAX             BR_ABS_MIN          FLUX_POSITIVE          FLUX_NEGATIVE    NPOLE_FLUX_POSITIVE    NPOLE_FLUX_NEGATIVE    SPOLE_FLUX_POSITIVE    SPOLE_FLUX_NEGATIVE             NPOLE_AREA             SPOLE_AREA              EQ_DIPOLE              AX_DIPOLE  VALIDATION_ERR_CVRMSD 
        20  2.000000000000000E+001 -5.646544165082007E-001  1.016473027120698E+000  1.552882306651818E-005  1.091278851242101E+022 -1.091199441241389E+022  9.095446244656930E+020 -4.306037130264872E+020  9.095446505597825E+020 -4.306037391205773E+020  3.989223162302474E+021  3.989223162302476E+021  1.027624332161757E-016  5.766826033773369E-017  6.391884997126507E-007
        21  2.100000000000000E+001 -5.646368079862667E-001  1.016441328218151E+000  1.553050297359484E-005  1.091244818274862E+022 -1.091165408274150E+022  9.095162733138666E+020 -4.305902836342793E+020  9.095162994059870E+020 -4.305903097264002E+020  3.989223162302474E+021  3.989223162302476E+021  9.010119344457340E-017  4.410534812185736E-017  6.711843647039183E-007
        21  2.100000000000000E+001 -5.646368079862667E-001  1.016441328218151E+000  1.553050297359484E-005  1.091244818274862E+022 -1.091165408274150E+022  9.095162733138666E+020 -4.305902836342793E+020  9.095162994059870E+020 -4.305903097264002E+020  3.989223162302474E+021  3.989223162302476E+021  9.010119344457340E-017  4.410534812185736E-017  6.711843647039183E-007
        22  2.200000000000000E+001 -5.646192000134322E-001  1.016409630407221E+000  1.553218289374671E-005  1.091210786369017E+022 -1.091131376368306E+022  9.094879230459052E+020 -4.305768546607793E+020  9.094879491360565E+020 -4.305768807509309E+020  3.989223162302474E+021  3.989223162302476E+021  9.653986971027308E-017  2.567635289723152E-017  7.031835415705089E-007
        22  2.200000000000000E+001 -5.646192000134322E-001  1.016409630407221E+000  1.553218289374671E-005  1.091210786369017E+022 -1.091131376368306E+022  9.094879230459052E+020 -4.305768546607793E+020  9.094879491360565E+020 -4.305768807509309E+020  3.989223162302474E+021  3.989223162302476E+021  9.653986971027308E-017  2.567635289723152E-017  7.031835415705089E-007
        23  2.300000000000000E+001 -5.646015925896789E-001  1.016377933686772E+000  1.553386282696080E-005  1.091176755524534E+022 -1.091097345523822E+022  9.094595736617817E+020 -4.305634261059739E+020  9.094595997499636E+020 -4.305634521941562E+020  3.989223162302474E+021  3.989223162302476E+021  8.059929165557416E-017  2.412334768167316E-017  7.351860090874814E-007
        23  2.300000000000000E+001 -5.646015925896789E-001  1.016377933686772E+000  1.553386282696080E-005  1.091176755524534E+022 -1.091097345523822E+022  9.094595736617817E+020 -4.305634261059739E+020  9.094595997499636E+020 -4.305634521941562E+020  3.989223162302474E+021  3.989223162302476E+021  8.059929165557416E-017  2.412334768167316E-017  7.351860090874814E-007
        24  2.400000000000000E+001 -5.645839857149915E-001  1.016346238055678E+000  1.553554277322648E-005  1.091142725741378E+022 -1.091063315740666E+022  9.094312251614682E+020 -4.305499979698502E+020  9.094312512476808E+020 -4.305500240560634E+020  3.989223162302474E+021  3.989223162302476E+021  8.079614837772734E-017  2.676345654812237E-017  7.671917456400474E-007
        24  2.400000000000000E+001 -5.645839857149915E-001  1.016346238055678E+000  1.553554277322648E-005  1.091142725741378E+022 -1.091063315740666E+022  9.094312251614682E+020 -4.305499979698502E+020  9.094312512476808E+020 -4.305500240560634E+020  3.989223162302474E+021  3.989223162302476E+021  8.079614837772734E-017  2.676345654812237E-017  7.671917456400474E-007
        25  2.500000000000000E+001 -5.645663793893535E-001  1.016314543512821E+000  1.553722273253289E-005  1.091108697019517E+022 -1.091029287018805E+022  9.094028775449370E+020 -4.305365702523952E+020  9.094029036291807E+020 -4.305365963366391E+020  3.989223162302474E+021  3.989223162302476E+021  7.749632616964199E-017  1.444294850469273E-017  7.992007293689394E-007
