      STEP                   TIME                 BR_MIN                 BR_MAX             BR_ABS_MIN          FLUX_POSITIVE          FLUX_NEGATIVE    NPOLE_FLUX_POSITIVE    NPOLE_FLUX_NEGATIVE    SPOLE_FLUX_POSITIVE    SPOLE_FLUX_NEGATIVE             NPOLE_AREA             SPOLE_AREA              EQ_DIPOLE              AX_DIPOLE   VALIDATION_ERR_HHabs 
        56  5.600000000000000E+001 -1.257340265461945E+000  1.258469684623481E+000  0.000000000000000E+000  4.565513241089429E+020 -4.565513241089429E+020  2.517991332496178E+017 -2.517991332496178E+017  1.970498599356260E-024 -1.970498669585380E-024  3.989223162302474E+021  3.989223162302476E+021  3.516952160310909E-002 -5.176684051861192E-020  2.786126947096239E-003
        57  5.700000000000000E+001 -1.257292269173510E+000  1.256596277257731E+000  0.000000000000000E+000  4.565513241268427E+020 -4.565513241268426E+020  2.351599279806444E+017 -2.351599279806444E+017  3.037857068345897E-024 -3.037857166236729E-024  3.989223162302474E+021  3.989223162302476E+021  3.523250829160199E-002  5.629643906399047E-019  2.835415340214065E-003
        58  5.800000000000000E+001 -1.255367199509271E+000  1.255630509661532E+000  0.000000000000000E+000  4.565513241495139E+020 -4.565513241495139E+020  2.195389530238279E+017 -2.195389530238279E+017  4.619667285138474E-024 -4.619667410591903E-024  3.989223162302474E+021  3.989223162302476E+021  3.529530246509816E-002 -9.706282597239736E-020  2.884687659134615E-003
        59  5.900000000000000E+001 -1.253486403945934E+000  1.253654531595496E+000  0.000000000000000E+000  4.565513241762269E+020 -4.565513241762269E+020  2.048795877823402E+017 -2.048795877823402E+017  6.942178457886737E-024 -6.942178602675978E-024  3.989223162302474E+021  3.989223162302476E+021  3.535790378046460E-002  6.535563615474756E-019  2.933943914504146E-003
        60  6.000000000000000E+001 -1.251460329681680E+000  1.250862503561813E+000  0.000000000000000E+000  4.565513242031009E+020 -4.565513242031009E+020  1.911279821915404E+017 -1.911279821915403E+017  1.032406862972945E-023 -1.032406877178171E-023  3.989223162302474E+021  3.989223162302476E+021  3.542031189562216E-002 -6.600272166123020E-019  2.983184116993174E-003
        61  6.100000000000000E+001 -1.247761908602866E+000  1.248787202545043E+000  0.000000000000000E+000  4.565513242347162E+020 -4.565513242347162E+020  1.782329447828720E+017 -1.782329447828720E+017  1.521206449247175E-023 -1.521206458866028E-023  3.989223162302474E+021  3.989223162302476E+021  3.548252646954757E-002  3.623678836302835E-019  3.032408277296858E-003
        62  6.200000000000000E+001 -1.245638306349140E+000  1.244188261564129E+000  0.000000000000000E+000  4.565513242769445E+020 -4.565513242769445E+020  1.661458340696035E+017 -1.661458340696035E+017  2.222971080570348E-023 -2.222971078391540E-023  3.989223162302474E+021  3.989223162302476E+021  3.554454716227513E-002  6.212020862233431E-019  3.081616406135377E-003
        63  6.300000000000000E+001 -1.240145740162818E+000  1.242017338381809E+000  0.000000000000000E+000  4.565513243202560E+020 -4.565513243202560E+020  1.548204530542206E+017 -1.548204530542206E+017  3.224410139744904E-023 -3.224410114967938E-023  3.989223162302474E+021  3.989223162302476E+021  3.560637363489871E-002  1.164753911668768E-019  3.130808514254286E-003
        64  6.400000000000000E+001 -1.241030182263018E+000  1.238733205105289E+000  0.000000000000000E+000  4.565513243666163E+020 -4.565513243666162E+020  1.442129484160893E+017 -1.442129484160893E+017  4.660941337945799E-023 -4.660941275908496E-023  3.989223162302474E+021  3.989223162302476E+021  3.566800554957353E-002 -3.364844633709775E-019  3.179984612424874E-003
        65  6.500000000000000E+001 -1.237122931900491E+000  1.239842114280120E+000  0.000000000000000E+000  4.565513244327443E+020 -4.565513244327443E+020  1.342817064784379E+017 -1.342817064784379E+017  6.704373206723817E-023 -6.704373089544033E-023  3.989223162302474E+021  3.989223162302476E+021  3.572944256951799E-002  5.823769558343841E-020  3.229144711444168E-003
        66  6.600000000000000E+001 -1.238176642244102E+000  1.235093232279500E+000  0.000000000000000E+000  4.565513245056939E+020 -4.565513245056939E+020  1.249872590938997E+017 -1.249872590938997E+017  9.590170528007386E-023 -9.590170336841591E-023  3.989223162302474E+021  3.989223162302476E+021  3.579068435901556E-002  4.659015646675073E-019  3.278288822135786E-003
        67  6.700000000000000E+001 -1.233381525078080E+000  1.236035764975870E+000  0.000000000000000E+000  4.565513245803000E+020 -4.565513245803000E+020  1.162921924143450E+017 -1.162921924143450E+017  1.364906309471895E-022 -1.364906281454023E-022  3.989223162302474E+021  3.989223162302476E+021  3.585173058341661E-002  7.765026077791789E-020  3.327416955349342E-003
        68  6.800000000000000E+001 -1.233422026580999E+000  1.231196305142961E+000  0.000000000000000E+000  4.565513246571875E+020 -4.565513246571875E+020  1.081610548754880E+017 -1.081610548754880E+017  1.933707143205600E-022 -1.933707105998926E-022  3.989223162302474E+021  3.989223162302476E+021  3.591258090914018E-002  1.682422316854888E-019  3.376529121961565E-003
        69  6.900000000000000E+001 -1.228540166818695E+000  1.230338511356765E+000  0.000000000000000E+000  4.565513247669515E+020 -4.565513247669515E+020  1.005602697522211E+017 -1.005602697522211E+017  2.728193033623522E-022 -2.728192989446886E-022  3.989223162302474E+021  3.989223162302476E+021  3.597323500367588E-002  9.059197090757087E-020  3.425625332875723E-003
