      STEP                   TIME                  DTIME          DTIME_ADV_STB         DTIME_ADV_USED         DTIME_DIFF_STB        N_DIFF_PER_STEP          N_DIFF_CYCLES 
       176  1.760000000000000E+002  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
       177  1.770000000000000E+002  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
       178  1.780000000000000E+002  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
       179  1.790000000000000E+002  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
       180  1.800000000000000E+002  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
       181  1.810000000000000E+002  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
       182  1.820000000000000E+002  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
       183  1.830000000000000E+002  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
       184  1.840000000000000E+002  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
       185  1.850000000000000E+002  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
       186  1.860000000000000E+002  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
       187  1.870000000000000E+002  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
       188  1.880000000000000E+002  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
       189  1.890000000000000E+002  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
       190  1.900000000000000E+002  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
       191  1.910000000000000E+002  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
       192  1.920000000000000E+002  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
       193  1.930000000000000E+002  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
       194  1.940000000000000E+002  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
       195  1.950000000000000E+002  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
       196  1.960000000000000E+002  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
       197  1.970000000000000E+002  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
       198  1.980000000000000E+002  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
       199  1.990000000000000E+002  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
       200  2.000000000000000E+002  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
       201  2.010000000000000E+002  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
       202  2.020000000000000E+002  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
       203  2.030000000000000E+002  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
       204  2.040000000000000E+002  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
       205  2.050000000000000E+002  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
       206  2.060000000000000E+002  1.000000000000000E+000  1.778272980501372E+000  1.000000000000000E+000  0.000000000000000E+000               0               0
