      STEP                   TIME                  DTIME          DTIME_ADV_STB         DTIME_ADV_USED         DTIME_DIFF_STB        N_DIFF_PER_STEP          N_DIFF_CYCLES 
       354  8.850000000000000E+001  2.500000000000000E-001  9.804655188562350E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       356  8.900000000000000E+001  2.500000000000000E-001  9.804661962462220E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       358  8.950000000000000E+001  2.500000000000000E-001  9.804668752493505E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       360  9.000000000000000E+001  2.500000000000000E-001  9.804675549285056E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       362  9.050000000000000E+001  2.500000000000000E-001  9.804682358661555E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       364  9.100000000000000E+001  2.500000000000000E-001  9.804689185923774E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       366  9.150000000000000E+001  2.500000000000000E-001  9.804696033336166E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       368  9.200000000000000E+001  2.500000000000000E-001  9.804703232674552E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       370  9.250000000000000E+001  2.500000000000000E-001  9.804710525734082E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       372  9.300000000000000E+001  2.500000000000000E-001  9.804717836082897E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       374  9.350000000000000E+001  2.500000000000000E-001  9.804725162642111E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       376  9.400000000000000E+001  2.500000000000000E-001  9.804732503125571E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       378  9.450000000000000E+001  2.500000000000000E-001  9.804739220347100E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       380  9.500000000000000E+001  2.500000000000000E-001  9.804745823823529E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       382  9.550000000000000E+001  2.500000000000000E-001  9.804752436735555E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       384  9.600000000000000E+001  2.500000000000000E-001  9.804759065270343E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       386  9.650000000000000E+001  2.500000000000000E-001  9.804765712739382E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       388  9.700000000000000E+001  2.500000000000000E-001  9.804772527541497E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       390  9.750000000000000E+001  2.500000000000000E-001  9.804779603531111E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       392  9.800000000000000E+001  2.500000000000000E-001  9.804786696795230E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       394  9.850000000000000E+001  2.500000000000000E-001  9.804793806537765E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       396  9.900000000000000E+001  2.500000000000000E-001  9.804800931144749E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       398  9.950000000000000E+001  2.500000000000000E-001  9.804808068235701E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       400  1.000000000000000E+002  2.500000000000000E-001  9.804815218163123E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       402  1.005000000000000E+002  2.500000000000000E-001  9.804822383535111E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       404  1.010000000000000E+002  2.500000000000000E-001  9.804829565640532E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       406  1.015000000000000E+002  2.500000000000000E-001  9.804836764210767E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       408  1.020000000000000E+002  2.500000000000000E-001  9.804843705224700E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       410  1.025000000000000E+002  2.500000000000000E-001  9.804849818072842E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       412  1.030000000000000E+002  2.500000000000000E-001  9.804855953262507E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       414  1.035000000000000E+002  2.500000000000000E-001  9.804862112749751E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       416  1.040000000000000E+002  2.500000000000000E-001  9.804868303894631E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       418  1.045000000000000E+002  2.500000000000000E-001  9.804874533397765E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       420  1.050000000000000E+002  2.500000000000000E-001  9.804880784722924E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       422  1.055000000000000E+002  2.500000000000000E-001  9.804887043167216E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       424  1.060000000000000E+002  2.500000000000000E-001  9.804893311698995E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       426  1.065000000000000E+002  2.500000000000000E-001  9.804899595791257E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       428  1.070000000000000E+002  2.500000000000000E-001  9.804905898173825E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       430  1.075000000000000E+002  2.500000000000000E-001  9.804912400038621E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       432  1.080000000000000E+002  2.500000000000000E-001  9.804919097535882E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       434  1.085000000000000E+002  2.500000000000000E-001  9.804925811676245E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
       436  1.090000000000000E+002  2.500000000000000E-001  9.804932541700330E+000  1.250000000000000E-001  2.411307628373300E-001               3               1
